name,visible,obstructed,receptacle,toggleable,isToggled,breakable,isBroken,canFillWithLiquid,isFilledWithLiquid,dirtyable,isDirty,canBeUsedUp,isUsedUp,cookable,isCooked,ObjectTemperature,canChangeTempToHot,canChangeTempToCold,sliceable,isSliced,openable,isOpen,openness,pickupable,isPickedUp,moveable,mass,salientMaterials,receptacleObjectIds,distance,objectType,objectId,parentReceptacles,isMoving,simbotObjectClass,simbotPickedUp,simbotLastParentReceptacle,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,axisAlignedBoundingBox_cornerPoints,axisAlignedBoundingBox_center_x,axisAlignedBoundingBox_center_y,axisAlignedBoundingBox_center_z,axisAlignedBoundingBox_size_x,axisAlignedBoundingBox_size_y,axisAlignedBoundingBox_size_z,objectOrientedBoundingBox_cornerPoints,simbotIsCooked,simbotIsFilledWithWater,objectOrientedBoundingBox,simbotIsReceptacleOf,simbotIsFilledWithCoffee
Tomato_7_Slice_7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.009999999776482582,['Food'],,1.77956223487854,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_6,['CounterTop|-01.87|+00.95|-00.61'],False,"['Tomato', 'Food', 'Fruit']",1.0,CounterTop|-01.87|+00.95|-00.61,-1.5164512395858765,0.939400851726532,0.037823617458343506,-0.0,0.0,-7.244508651638171e-06,"[[-1.467376708984375, 0.9722069501876831, 0.04729797691106796], [-1.467376708984375, 0.9722069501876831, 0.02915225178003311], [-1.467376708984375, 0.9071002006530762, 0.04729797691106796], [-1.467376708984375, 0.9071002006530762, 0.02915225178003311], [-1.5653786659240723, 0.9722069501876831, 0.04729797691106796], [-1.5653786659240723, 0.9722069501876831, 0.02915225178003311], [-1.5653786659240723, 0.9071002006530762, 0.04729797691106796], [-1.5653786659240723, 0.9071002006530762, 0.02915225178003311]]",-1.5163776874542236,0.9396535754203796,0.03822511434555054,0.09800195693969727,0.06510674953460693,0.01814572513103485,"[[-1.467376708984375, 0.9071002006530762, 0.04729795455932617], [-1.5653786659240723, 0.9071002006530762, 0.04729795455932617], [-1.5653786659240723, 0.9071002006530762, 0.029152274131774902], [-1.467376708984375, 0.9071002006530762, 0.029152274131774902], [-1.467376708984375, 0.9722069501876831, 0.04729795455932617], [-1.5653786659240723, 0.9722069501876831, 0.04729795455932617], [-1.5653786659240723, 0.9722069501876831, 0.029152274131774902], [-1.467376708984375, 0.9722069501876831, 0.029152274131774902]]",,,,,
Tomato_7_Slice_6,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.009999999776482582,['Food'],,3.104912042617798,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_5,['CounterTop|-01.87|+00.95|-00.61'],False,"['Tomato', 'Food', 'Fruit']",1.0,CounterTop|-01.87|+00.95|-00.61,-1.2696607112884521,0.9484577178955078,-1.2674212455749512,-0.0,0.0,0.0,"[[-1.2137656211853027, 0.9904628992080688, -1.260703682899475], [-1.2137656211853027, 0.9904628992080688, -1.2735694646835327], [-1.2137656211853027, 0.9071000814437866, -1.260703682899475], [-1.2137656211853027, 0.9071000814437866, -1.2735694646835327], [-1.3253884315490723, 0.9904628992080688, -1.260703682899475], [-1.3253884315490723, 0.9904628992080688, -1.2735694646835327], [-1.3253884315490723, 0.9071000814437866, -1.260703682899475], [-1.3253884315490723, 0.9071000814437866, -1.2735694646835327]]",-1.2695770263671875,0.9487814903259277,-1.267136573791504,0.11162281036376953,0.08336281776428223,0.012865781784057617,"[[-1.2137658596038818, 0.9071000814437866, -1.260703682899475], [-1.3253881931304932, 0.9071000814437866, -1.260703682899475], [-1.3253881931304932, 0.9071000814437866, -1.2735693454742432], [-1.2137658596038818, 0.9071000814437866, -1.2735693454742432], [-1.2137658596038818, 0.9904628992080688, -1.260703682899475], [-1.3253881931304932, 0.9904628992080688, -1.260703682899475], [-1.3253881931304932, 0.9904628992080688, -1.2735693454742432], [-1.2137658596038818, 0.9904628992080688, -1.2735693454742432]]",,,,,
Tomato_7_Slice_5,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.009999999776482582,['Food'],,1.3524808883666992,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_4,"['DiningTable|-02.66|+00.00|+03.21', 'Plate|-02.32|+00.84|+03.15']",False,"['Tomato', 'Food', 'Fruit']",1.0,Plate|-02.32|+00.84|+03.15,-2.8141205310821533,0.9187284708023071,2.829860210418701,-0.0011235661804676056,225.00131225585938,90.00028228759766,"[[-2.7766218185424805, 0.9809458255767822, 2.866844654083252], [-2.7766218185424805, 0.9809458255767822, 2.791982650756836], [-2.7766218185424805, 0.8566977977752686, 2.866844654083252], [-2.7766218185424805, 0.8566977977752686, 2.791982650756836], [-2.8514819145202637, 0.9809458255767822, 2.866844654083252], [-2.8514819145202637, 0.9809458255767822, 2.791982650756836], [-2.8514819145202637, 0.8566977977752686, 2.866844654083252], [-2.8514819145202637, 0.8566977977752686, 2.791982650756836]]",-2.814051866531372,0.9188218116760254,2.829413652420044,0.0748600959777832,0.12424808740615845,0.07486200332641602,"[[-2.8514795303344727, 0.9809472560882568, 2.858311891555786], [-2.8514816761016846, 0.856698751449585, 2.8583106994628906], [-2.8429477214813232, 0.8566985130310059, 2.8668441772460938], [-2.8429455757141113, 0.9809470176696777, 2.8668456077575684], [-2.7851548194885254, 0.9809467792510986, 2.7919840812683105], [-2.7851569652557373, 0.8566982746124268, 2.791982889175415], [-2.776623010635376, 0.8566980361938477, 2.8005166053771973], [-2.776620864868164, 0.9809465408325195, 2.8005177974700928]]",,,,,
Tomato_7_Slice_4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.009999999776482582,['Food'],,1.7506128549575806,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_3,['CounterTop|-01.87|+00.95|-00.61'],False,"['Tomato', 'Food', 'Fruit']",1.0,CounterTop|-01.87|+00.95|-00.61,-1.9601072072982788,0.9484471082687378,0.00048503652215003967,0.04964539408683777,-0.0008918281528167427,0.005897141061723232,"[[-1.8897936344146729, 0.9966468811035156, 0.0073744128458201885], [-1.8897936344146729, 0.9966468811035156, -0.005845400970429182], [-1.8897936344146729, 0.9009906053543091, 0.0073744128458201885], [-1.8897936344146729, 0.9009906053543091, -0.005845400970429182], [-2.0302083492279053, 0.9966468811035156, 0.0073744128458201885], [-2.0302083492279053, 0.9966468811035156, -0.005845400970429182], [-2.0302083492279053, 0.9009906053543091, 0.0073744128458201885], [-2.0302083492279053, 0.9009906053543091, -0.005845400970429182]]",-1.960000991821289,0.9488187432289124,0.0007645059376955032,0.14041471481323242,0.09565627574920654,0.01321981381624937,"[[-1.8897926807403564, 0.9010015726089478, 0.007305450737476349], [-2.0302011966705322, 0.9009893536567688, 0.007304845377802849], [-2.030200958251953, 0.9009988307952881, -0.005845464766025543], [-1.889792561531067, 0.9010111093521118, -0.005844857543706894], [-1.889801025390625, 0.9966385960578918, 0.007374471053481102], [-2.030209541320801, 0.9966263771057129, 0.007373865693807602], [-2.0302093029022217, 0.9966358542442322, -0.005776442587375641], [-1.8898009061813354, 0.9966480731964111, -0.00577583909034729]]",,,,,
Tomato_7_Slice_3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.009999999776482582,['Food'],,1.7353180646896362,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_2,['CounterTop|-01.87|+00.95|-00.61'],False,"['Tomato', 'Food', 'Fruit']",1.0,CounterTop|-01.87|+00.95|-00.61,-1.960374116897583,0.9499642848968506,0.015825551003217697,0.04935646057128906,-0.0007783406763337553,0.0057400804944336414,"[[-1.8891706466674805, 0.9997043013572693, 0.02262980118393898], [-1.8891706466674805, 0.9997043013572693, 0.00957409292459488], [-1.8891706466674805, 0.9009904265403748, 0.02262980118393898], [-1.8891706466674805, 0.9009904265403748, 0.00957409292459488], [-2.031362533569336, 0.9997043013572693, 0.02262980118393898], [-2.031362533569336, 0.9997043013572693, 0.00957409292459488], [-2.031362533569336, 0.9009904265403748, 0.02262980118393898], [-2.031362533569336, 0.9009904265403748, 0.00957409292459488]]",-1.9602665901184082,0.950347363948822,0.01610194705426693,0.14219188690185547,0.09871387481689453,0.013055708259344101,"[[-1.889169454574585, 0.9010014533996582, 0.022557824850082397], [-2.031355381011963, 0.9009891748428345, 0.022557305172085762], [-2.031355142593384, 0.900998592376709, 0.00957404263317585], [-1.889169454574585, 0.9010109305381775, 0.009574560448527336], [-1.8891780376434326, 0.9996960759162903, 0.022629857063293457], [-2.0313637256622314, 0.9996837973594666, 0.02262933738529682], [-2.0313637256622314, 0.9996932744979858, 0.00964607484638691], [-1.8891780376434326, 0.9997055530548096, 0.009646592661738396]]",,,,,
Tomato_7_Slice_2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.009999999776482582,['Food'],,1.720186471939087,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_1,['CounterTop|-01.87|+00.95|-00.61'],False,"['Tomato', 'Food', 'Fruit']",1.0,CounterTop|-01.87|+00.95|-00.61,-1.961174488067627,0.9495017528533936,0.030935894697904587,0.05227848142385483,-0.0009800931438803673,0.005515081807971001,"[[-1.8886404037475586, 0.9987733960151672, 0.03726733848452568], [-1.8886404037475586, 0.9987733960151672, 0.02512001246213913], [-1.8886404037475586, 0.9009905457496643, 0.03726733848452568], [-1.8886404037475586, 0.9009905457496643, 0.02512001246213913], [-2.033489942550659, 0.9987733960151672, 0.03726733848452568], [-2.033489942550659, 0.9987733960151672, 0.02512001246213913], [-2.033489942550659, 0.9009905457496643, 0.03726733848452568], [-2.033489942550659, 0.9009905457496643, 0.02512001246213913]]",-1.9610651731491089,0.9498819708824158,0.031193675473332405,0.14484953880310059,0.09778285026550293,0.012147326022386551,"[[-1.8886394500732422, 0.9010014533996582, 0.03718957304954529], [-2.033482789993286, 0.900989294052124, 0.03718859702348709], [-2.033482789993286, 0.9009988903999329, 0.02511991374194622], [-1.8886393308639526, 0.9010111093521118, 0.025120891630649567], [-1.8886476755142212, 0.9987649917602539, 0.03726743534207344], [-2.0334911346435547, 0.9987528324127197, 0.037266459316015244], [-2.0334908962249756, 0.9987624287605286, 0.025197776034474373], [-1.8886475563049316, 0.9987746477127075, 0.02519875392317772]]",,,,,
Tomato_7_Slice_1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.059999994933605194,['Food'],,1.6717852354049683,TomatoSliced,Tomato|-02.51|+00.64|-00.76|TomatoSliced_0,['CounterTop|-01.87|+00.95|-00.61'],False,"['Tomato', 'Food', 'Fruit']",1.0,CounterTop|-01.87|+00.95|-00.61,-1.961143970489502,0.9495359659194946,0.07937134057283401,0.0014697771985083818,0.00012764788698405027,0.0013276917161419988,"[[-1.8903234004974365, 0.9980745315551758, 0.1192765086889267], [-1.8903234004974365, 0.9980745315551758, 0.03926755487918854], [-1.8903234004974365, 0.9009981155395508, 0.1192765086889267], [-1.8903234004974365, 0.9009981155395508, 0.03926755487918854], [-2.031964063644409, 0.9980745315551758, 0.1192765086889267], [-2.031964063644409, 0.9980745315551758, 0.03926755487918854], [-2.031964063644409, 0.9009981155395508, 0.1192765086889267], [-2.031964063644409, 0.9009981155395508, 0.03926755487918854]]",-1.9611437320709229,0.9495363235473633,0.07927203178405762,0.14164066314697266,0.097076416015625,0.08000895380973816,"[[-1.890323281288147, 0.9010003209114075, 0.11927391588687897], [-2.0319621562957764, 0.9009969234466553, 0.11927399784326553], [-2.0319621562957764, 0.9009993076324463, 0.03926762938499451], [-1.890323281288147, 0.9010027050971985, 0.03926754742860794], [-1.8903255462646484, 0.9980725049972534, 0.11927676945924759], [-2.0319643020629883, 0.9980691075325012, 0.11927685141563416], [-2.0319645404815674, 0.9980714917182922, 0.03927048295736313], [-1.890325665473938, 0.9980748891830444, 0.03927040100097656]]",,,,,
Bread_7_Slice_5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.08749999850988388,['Food'],,1.3750351667404175,BreadSliced,Bread|-01.52|+00.99|-00.29|BreadSliced_4,"['DiningTable|-02.66|+00.00|+03.21', 'Plate|-02.32|+00.84|+03.15']",False,"['Bread', 'Food']",1.0,Plate|-02.32|+00.84|+03.15,-2.8062517642974854,0.930789589881897,2.863459587097168,0.0011245807399973273,45.001136779785156,-0.00028960074996575713,"[[-2.737321376800537, 1.002907395362854, 2.931943893432617], [-2.737321376800537, 1.002907395362854, 2.7949514389038086], [-2.737321376800537, 0.8566979169845581, 2.931943893432617], [-2.737321376800537, 0.8566979169845581, 2.7949514389038086], [-2.8743109703063965, 1.002907395362854, 2.931943893432617], [-2.8743109703063965, 1.002907395362854, 2.7949514389038086], [-2.8743109703063965, 0.8566979169845581, 2.931943893432617], [-2.8743109703063965, 0.8566979169845581, 2.7949514389038086]]",-2.805816173553467,0.929802656173706,2.863447666168213,0.13698959350585938,0.1462094783782959,0.1369924545288086,"[[-2.73732328414917, 0.8566978573799133, 2.815326690673828], [-2.853933334350586, 0.8566986918449402, 2.931941509246826], [-2.8743114471435547, 0.8566992282867432, 2.911564350128174], [-2.7577011585235596, 0.8566984534263611, 2.794949531555176], [-2.7373206615448, 1.002906322479248, 2.8153281211853027], [-2.853930950164795, 1.0029072761535645, 2.931942939758301], [-2.8743088245391846, 1.0029077529907227, 2.9115657806396484], [-2.7576985359191895, 1.0029070377349854, 2.7949509620666504]]",True,,,,
Bread_7_Slice_4,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.08749999850988388,['Food'],,1.384938359260559,BreadSliced,Bread|-01.52|+00.99|-00.29|BreadSliced_3,"['DiningTable|-02.66|+00.00|+03.21', 'Plate|-02.32|+00.84|+03.15']",False,"['Bread', 'Food']",1.0,Plate|-02.32|+00.84|+03.15,-2.767652988433838,0.9401044845581055,2.9020564556121826,0.0011184434406459332,45.00111770629883,89.99970245361328,"[[-2.7051339149475098, 1.0258924961090088, 2.96402907371521], [-2.7051339149475098, 1.0258924961090088, 2.839536428451538], [-2.7051339149475098, 0.8566954135894775, 2.96402907371521], [-2.7051339149475098, 0.8566954135894775, 2.839536428451538], [-2.829624652862549, 1.0258924961090088, 2.96402907371521], [-2.829624652862549, 1.0258924961090088, 2.839536428451538], [-2.829624652862549, 0.8566954135894775, 2.96402907371521], [-2.829624652862549, 0.8566954135894775, 2.839536428451538]]",-2.7673792839050293,0.9412939548492432,2.901782751083374,0.12449073791503906,0.16919708251953125,0.12449264526367188,"[[-2.705134153366089, 1.025893211364746, 2.860640525817871], [-2.705137014389038, 0.8566957712173462, 2.8606388568878174], [-2.7262415885925293, 0.856696367263794, 2.8395349979400635], [-2.72623872756958, 1.0258936882019043, 2.839536666870117], [-2.808518886566162, 1.0258939266204834, 2.964029312133789], [-2.8085217475891113, 0.8566965460777283, 2.9640274047851562], [-2.8296263217926025, 0.856697142124176, 2.9429237842559814], [-2.829623222351074, 1.0258944034576416, 2.942925453186035]]",True,,,,
Bread_7_Slice_3,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,RoomTemp,False,False,False,False,False,False,0.0,True,False,False,0.08749999850988388,['Food'],,2.151826858520508,BreadSliced,Bread|-01.52|+00.99|-00.29|BreadSliced_2,['CounterTop|-01.87|+00.95|-00.61'],True,"['Bread', 'Food']",,,-1.5166988372802734,0.9750758409500122,-0.3455407917499542,0.1550864428281784,0.29823750257492065,359.93994140625,"[[-1.4308029413223267, 1.0472862720489502, -0.33010172843933105], [-1.4308029413223267, 1.0472862720489502, -0.36110973358154297], [-1.4308029413223267, 0.9008548259735107, -0.33010172843933105], [-1.4308029413223267, 0.9008548259735107, -0.36110973358154297], [-1.6002615690231323, 1.0472862720489502, -0.33010172843933105], [-1.6002615690231323, 1.0472862720489502, -0.36110973358154297], [-1.6002615690231323, 0.9008548259735107, -0.33010172843933105], [-1.6002615690231323, 0.9008548259735107, -0.36110973358154297]]",-1.5155322551727295,0.9740705490112305,-0.345605731010437,0.16945862770080566,0.14643144607543945,0.031008005142211914,"[[-1.430914044380188, 0.9008547067642212, -0.3312656581401825], [-1.6001065969467163, 0.9010320901870728, -0.3303844928741455], [-1.600261926651001, 0.9011128544807434, -0.36022859811782837], [-1.4310693740844727, 0.9009354710578918, -0.36110979318618774], [-1.4307587146759033, 1.0470627546310425, -0.33087068796157837], [-1.5999512672424316, 1.047240138053894, -0.3299895226955414], [-1.6001065969467163, 1.0473209619522095, -0.35983365774154663], [-1.430914044380188, 1.047143578529358, -0.3607148230075836]]",,,,,
