agent_id,action_id,time_start,duration,success,query,action_idx,obj_interaction_action,utterance,is_corrected,corrected_utterance,da_metadata_agent,da_metadata_tstamp,da_metadata_utterance,da_metadata_text_segments,da_metadata_das,pose_delta,pose,x,y,oid
0,500,40.5503203868866,1,0,,30.0,0.0,,,,,,,,,,,,,
0,100,63.42138171195984,1,1,,,,Good day!  We are preparing breakfast.  We first need to wash a dirty mug.,0.0,Good day! We are preparing breakfast. We first need to wash a dirty mug.,Commander,63.42138171,Good day!  We are preparing breakfast.  We first need to wash a dirty mug.,"['Good day!', 'We are preparing breakfast.  We first need to wash a dirty mug.', '']","['Greetings/Salutations', 'Instruction', '']",,,,,
1,2,72.49418449401855,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.75, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,73.01422500610352,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.5, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,73.36088943481445,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.25, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,74.26896262168884,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -2.0, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,74.56517672538757,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.75, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,74.8025472164154,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.5, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,74.9824378490448,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.25, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,75.14844965934753,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.0, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,2,75.4631564617157,1,0,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.75, -1.0, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,4,75.96460771560669,1,1,,4.0,0.0,,,,,,,,,"[0, 0, 0, 0, 0, 90]","[1.75, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,79.30943131446838,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.5, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,79.64453387260437,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.25, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,80.02185988426208,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[1.0, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,80.29819130897522,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.75, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,80.65819597244263,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.5, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,80.82660031318665,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.25, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,2,80.9943687915802,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.0, -1.0, 0.9009991884231567, 0, 30.000028610229492, -180.0]",,,
1,5,83.70984768867493,1,1,,5.0,0.0,,,,,,,,,"[0, 0, 0, 0, 0, -90]","[0.0, -1.0, 0.9009991884231567, 0, 30.000024795532227, -270.0]",,,
1,5,85.9174530506134,1,1,,5.0,0.0,,,,,,,,,"[0, 0, 0, 0, 0, -90]","[0.0, -1.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,88.13292503356934,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.75, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,88.55967974662781,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.5, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,88.94492936134338,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.25, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,89.32522559165955,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, -0.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,89.60417485237122,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, 0.25, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,89.78232622146606,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, 0.5, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,90.00286221504211,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, 0.75, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
0,502,90.17087864875793,1,1,mug,32.0,0.0,,,,,,,,,,,,,
1,8,98.04963207244873,1,1,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, 1.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,8,98.35740399360657,1,0,,8.0,0.0,,,,,,,,,"[0, 0.25, 0, 0, 0, 0]","[0.0, 1.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,2,99.4287703037262,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.25, 1.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,2,100.02158403396606,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.5, 1.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
1,2,100.34013772010803,1,1,,2.0,0.0,,,,,,,,,"[0.25, 0, 0, 0, 0, 0]","[0.75, 1.0, 0.9009991884231567, 0, 30.000028610229492, -0.0]",,,
